№,year,first,title,cast,location,lat,lng
34,平成18年度,ほ,ＴＶ「金とく　北陸スペシャル」　ＮＨＫ富山放送,－,大井川鐵道　家山駅,34.940029,138.077744
35,平成18年度,か,映画「母べえ」,吉永小百合・浅野忠信・志田未来・笑福亭鶴瓶,大井川鐵道　新金谷駅,34.824029,138.139015
36,平成18年度,か,映画「母べえ」,吉永小百合・浅野忠信・志田未来・笑福亭鶴瓶,駿河徳山駅,35.074681,138.11057
37,平成18年度,か,映画「母べえ」,吉永小百合・浅野忠信・志田未来・笑福亭鶴瓶,千頭駅,35.107678,138.136566
38,平成18年度,ち,大御所400年祭事業映像作品「朝鮮通信使」,林隆三,大井川鐵道　新金谷駅　,34.825765,138.137577
39,平成18年度,ち,大御所400年祭事業映像作品「朝鮮通信使」,林隆三,青部駅,35.089485,138.115652
40,平成18年度,ち,大御所400年祭事業映像作品「朝鮮通信使」,林隆三,千頭駅,35.107678,138.136566
41,平成18年度,ち,大御所400年祭事業映像作品「朝鮮通信使」,林隆三,みのる座,34.83193,138.179677
42,平成18年度,し,CM「ヤギモク　TVコマーシャル」,－,川越し遺跡民家,34.832259,138.156688
43,平成18年度,し,CM「ヤギモク　TVコマーシャル」,－,大井川鐵道沿線,34.82546,138.137188
44,平成18年度,し,CM「ヤギモク　TVコマーシャル」,－,福用地区商店,34.901922,138.09005
45,平成18年度,お,映画「ＡＬＷＡＹＳ　続・三丁目の夕日」,吉岡秀隆・堤真一・小雪・堀北真希,大井川鐵道　新金谷駅,34.824029,138.139015
46,平成18年度,お,映画「ＡＬＷＡＹＳ　続・三丁目の夕日」,吉岡秀隆・堤真一・小雪・堀北真希,中央公園,34.849818,138.174927
47,平成18年度,お,映画「ＡＬＷＡＹＳ　続・三丁目の夕日」,吉岡秀隆・堤真一・小雪・堀北真希,尾川地区山道（島田市内）,34.865901,138.174428
48,平成19年度,し,映画「少林少女」,柴咲コウ、仲村トオル、江口洋介、岡村隆史,大井川鐵道　地名駅,34.985996,138.087269
49,平成19年度,く,映画「ぐるりのこと」,木村多江、リリー・フランキー,大井川鐵道　千頭駅,35.107678,138.136566
50,平成19年度,く,映画「ぐるりのこと」,木村多江、リリー・フランキー,新金谷駅,34.825765,138.137577
51,平成19年度,く,映画「ぐるりのこと」,木村多江、リリー・フランキー,蓬莱橋,34.825524,138.184443
52,平成19年度,く,映画「ぐるりのこと」,木村多江、リリー・フランキー,大井神社,34.833661,138.171678
53,平成19年度,く,映画「ぐるりのこと」,木村多江、リリー・フランキー,みのる座,34.83193,138.179677
54,平成19年度,く,映画「ぐるりのこと」,木村多江、リリー・フランキー,翠紅苑,35.1738,138.122781
55,平成19年度,く,映画「ぐるりのこと」,木村多江、リリー・フランキー,おび通り,34.832868,138.176748
56,平成19年度,は,ドラマ「裸の大将～放浪の虫が動き出したので～」,塚地武雅・水川あさみ・生瀬勝久・ベンガル,大井川鐵道　家山駅,34.940029,138.077744
57,平成19年度,た,映画「たみおのしあわせ」,原田芳雄・オダギリジョー・大竹しのぶ・麻生久美子,島田球場,34.825323,138.175062
58,平成19年度,は,ドラマ「はだしのゲン」,中井貴一・石田ゆり子,大井川鐵道　新金谷駅,34.824029,138.139015
59,平成19年度,し,CM「TOKAI」,－,大井川鐵道　新金谷駅,34.824029,138.139015
60,平成19年度,て,ドラマ「点と線」,ビートたけし・高橋克典・柳葉敏郎・小林稔持・竹中直人,大井川鐵道　青部駅,35.089485,138.115652
61,平成19年度,て,ドラマ「点と線」,ビートたけし・高橋克典・柳葉敏郎・小林稔持・竹中直人,駿河徳山駅,35.074681,138.11057
62,平成19年度,わ,ドラマ「私は貝になりたい」,中村獅童、優香、名取裕子、飯島直子,大井川鐵道　千頭駅,35.107678,138.136566
63,平成19年度,と,ＴＶ「ドリーム・プレス社　～佐賀のがばいばあちゃん再現ＶＴＲ～」,島田洋七、石原良純,佐藤工業敷地内の民家,34.824245,138.144097
64,平成19年度,き,ＴＶ「奇跡体験アンビリバボー」,－,市井平橋（家山）,34.941627,138.062316
65,平成19年度,く,グラビアアイドルＤＶＤ,斉藤晴南、黒沢華鈴、原真未,夢の吊り橋,35.198528,138.112848
66,平成19年度,く,グラビアアイドルＤＶＤ,斉藤晴南、黒沢華鈴、原真未,飛龍橋,35.178746,138.108207
67,平成19年度,く,グラビアアイドルＤＶＤ,斉藤晴南、黒沢華鈴、原真未,飛龍の宿,35.175439,138.119672
68,平成19年度,く,グラビアアイドルＤＶＤ,斉藤晴南、黒沢華鈴、原真未,石畳茶屋,34.816943,138.124605
69,平成19年度,た,映画「ＤＩＶＥ!!」,林遣都、池松壮亮、溝端淳平、瀬戸朝香,大井川鐵道　新金谷駅,34.824029,138.139015
70,平成19年度,た,映画「ＤＩＶＥ!!」,林遣都、池松壮亮、溝端淳平、瀬戸朝香,島田市相賀,34.851842,138.140411
71,平成19年度,し,CM「静岡銀行」,－,大井川鐵道　新金谷駅,34.824029,138.139015
72,平成19年度,く,映画「クロサギ」,山下智久、掘北真希、市川由衣、山崎努,大井川鐵道　新金谷駅,34.824029,138.139015
73,平成19年度,く,映画「クロサギ」,山下智久、掘北真希、市川由衣、山崎努,川越し遺跡,34.831342,138.154388
74,平成19年度,し,ドラマ「所轄刑事4」,船越英一郎、的場浩司,大井川鐵道　新金谷駅,34.824029,138.139015
75,平成19年度,は,映画「花は散れども」,大竹しのぶ、柄本明、豊川悦司,大井川鐵道　新金谷駅,34.824029,138.139015
76,平成19年度,は,映画「花は散れども」,大竹しのぶ、柄本明、豊川悦司,千頭駅,35.107678,138.136566
77,平成19年度,は,映画「花は散れども」,大竹しのぶ、柄本明、豊川悦司,家山駅,34.940029,138.077744
78,平成19年度,は,映画「花は散れども」,大竹しのぶ、柄本明、豊川悦司,田野口駅,35.051649,138.095704
79,平成19年度,ま,映画「まぼろしの邪馬台国」,吉永小百合、竹中直人、窪塚洋介、風間トオル、平田満、柳原可奈子,大井川鐵道　新金谷駅,34.824029,138.139015
80,平成19年度,そ,静清工業高校卒業制作映画「続・八十七番地の夕日」,－,釣耕苑,34.863979,138.185207
81,平成19年度,さ,映画「最後の早慶戦」,渡辺大、藤田まこと、石坂浩二、柄本明、富司純子,大井川鐵道　駿河徳山駅,35.074681,138.11057
82,平成19年度,さ,映画「最後の早慶戦」,渡辺大、藤田まこと、石坂浩二、柄本明、富司純子,川越し遺跡,34.831342,138.154388
83,平成19年度,さ,映画「最後の早慶戦」,渡辺大、藤田まこと、石坂浩二、柄本明、富司純子,大井神社,34.833661,138.171678
84,平成19年度,さ,映画「最後の早慶戦」,渡辺大、藤田まこと、石坂浩二、柄本明、富司純子,蓬莱橋,34.825524,138.184443
85,平成19年度,わ,ドラマ「我はゴッホになる！～愛を彫った男・棟方志功とその妻～」,劇団ひとり、香椎由宇、藤木直人、虻川美穂子、笹野高史,大井川鐵道　家山駅,34.940029,138.077744
86,平成19年度,は,ドラマ「裸の大将～宮崎の鬼が笑うので～」（仮）,塚地武雅（ドランクドラゴン）、水川あさみ、ウド鈴木、梅宮辰夫,大井川鐵道　新金谷駅,34.824029,138.139015
87,平成20年度,あ,ドラマ「ありがとう！チャンピィ」,高嶋政伸,大井川鐵道　千頭駅,35.107678,138.136566
88,平成20年度,ふ,映画「フィッシュストーリー」,森山未來、多部未華子,大井川鐵道　家山駅,34.940029,138.077744
89,平成20年度,ふ,映画「フィッシュストーリー」,森山未來、多部未華子,富士山静岡空港,34.795346,138.179596
